School,Conference,ProjectedPoints,NumberOfProspects,SchoolURL,SuggestedAuctionValue,LeagifyPosition,ProjectedPointsAboveAverage,ProjectedPointsAboveReplacement,AveragePointsForPosition,ReplacementValueAverageForPosition
Colorado State,FBS - Mountain West,12,5,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/colorado_st.svg,,RandomSmallSchool,-16.199999999999999,8.6899999999999995,28.199999999999999,3.3100000000000001
Bowling Green,FBS - MAC,12,3,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/bowling_green.svg,,RandomSmallSchool,-16.199999999999999,8.6899999999999995,28.199999999999999,3.3100000000000001
BYU,Big 12,11,6,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/byu.svg,,Big 12,-39.200000000000003,-4.3499999999999996,50.200000000000003,15.359999999999999
Utah State,FBS - Mountain West,11,2,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/utah_st.svg,,RandomSmallSchool,-17.199999999999999,7.6900000000000004,28.199999999999999,3.3100000000000001
Cincinnati,Big 12,10,5,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/cincinnati.svg,,Big 12,-40.200000000000003,-5.3600000000000003,50.200000000000003,15.359999999999999
Washington State,Pac 12,10,3,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/washington_st.svg,,RandomSmallSchool,-18.199999999999999,6.6900000000000004,28.199999999999999,3.3100000000000001
William & Mary,FCS,10,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/william&amp;mary.svg,,RandomSmallSchool,-18.199999999999999,6.6900000000000004,28.199999999999999,3.3100000000000001
Tulane,FBS - AAC,9,4,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/tulane.svg,,RandomSmallSchool,-19.199999999999999,5.6900000000000004,28.199999999999999,3.3100000000000001
Illinois,Big Ten,9,4,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/illinois.svg,,Big Ten,-71.090000000000003,-1.8600000000000001,80.090000000000003,10.869999999999999
UTSA,FBS - AAC,9,3,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/utsa.svg,,RandomSmallSchool,-19.199999999999999,5.6900000000000004,28.199999999999999,3.3100000000000001
Memphis,FBS - AAC,8,6,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/memphis.svg,,RandomSmallSchool,-20.199999999999999,4.6799999999999997,28.199999999999999,3.3100000000000001
UConn,FBS - AAC,8,3,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/uconn.svg,,RandomSmallSchool,-20.199999999999999,4.6799999999999997,28.199999999999999,3.3100000000000001
Central Arkansas,FCS,8,2,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/central_arkansas.svg,,RandomSmallSchool,-20.199999999999999,4.6799999999999997,28.199999999999999,3.3100000000000001
Oregon State,Pac 12,8,2,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/oregon_st.svg,,RandomSmallSchool,-20.199999999999999,4.6799999999999997,28.199999999999999,3.3100000000000001
Sacramento State,FCS,8,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/sacramento_st.svg,,RandomSmallSchool,-20.199999999999999,4.6799999999999997,28.199999999999999,3.3100000000000001
Pitt,ACC,7,7,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/pittsburgh.svg,,ACC,-45.600000000000001,-9.75,52.600000000000001,16.75
UNLV,FBS - Mountain West,7,3,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/unlv.svg,,RandomSmallSchool,-21.199999999999999,3.6899999999999999,28.199999999999999,3.3100000000000001
Western Michigan,FBS - MAC,7,3,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/western_michigan.svg,,RandomSmallSchool,-21.199999999999999,3.6899999999999999,28.199999999999999,3.3100000000000001
Jacksonville State,FBS - CUSA,6,2,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/jacksonville_st.svg,,RandomSmallSchool,-22.199999999999999,2.6899999999999999,28.199999999999999,3.3100000000000001
Fresno State,FBS - Mountain West,6,2,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/fresno_st.svg,,RandomSmallSchool,-22.199999999999999,2.6899999999999999,28.199999999999999,3.3100000000000001
Delaware,FCS,6,2,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/delaware.svg,,RandomSmallSchool,-22.199999999999999,2.6899999999999999,28.199999999999999,3.3100000000000001
San Jose State,FBS - Mountain West,6,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/san_jose_st.svg,,RandomSmallSchool,-22.199999999999999,2.6899999999999999,28.199999999999999,3.3100000000000001
Baylor,Big 12,5,5,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/baylor.svg,,Big 12,-45.200000000000003,-10.359999999999999,50.200000000000003,15.359999999999999
Michigan State,Big Ten,5,5,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/michigan_st.svg,,Big Ten,-75.090000000000003,-5.8600000000000003,80.090000000000003,10.869999999999999
Washington,Big Ten,5,5,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/washington.svg,,Big Ten,-75.090000000000003,-5.8600000000000003,80.090000000000003,10.869999999999999
Western Kentucky,FBS - CUSA,5,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/western_kentucky.svg,,RandomSmallSchool,-23.199999999999999,1.6899999999999999,28.199999999999999,3.3100000000000001
Eastern Washington,FCS,5,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/eastern_washington.svg,,RandomSmallSchool,-23.199999999999999,1.6899999999999999,28.199999999999999,3.3100000000000001
Alabama A&M,FCS,5,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/alabama_a&amp;m.svg,,RandomSmallSchool,-23.199999999999999,1.6899999999999999,28.199999999999999,3.3100000000000001
Texas State,FBS - Sun Belt,3,3,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/texas_st.svg,,RandomSmallSchool,-25.199999999999999,-0.31,28.199999999999999,3.3100000000000001
Arkansas State,FBS - Sun Belt,3,3,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/arkansas_st.svg,,RandomSmallSchool,-25.199999999999999,-0.31,28.199999999999999,3.3100000000000001
North Texas,FBS - AAC,3,3,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/north_texas.svg,,RandomSmallSchool,-25.199999999999999,-0.31,28.199999999999999,3.3100000000000001
Miami (OH),FBS - MAC,3,3,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/miami_oh.svg,,RandomSmallSchool,-25.199999999999999,-0.31,28.199999999999999,3.3100000000000001
Montana State,FCS,3,2,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/montana_st.svg,,RandomSmallSchool,-25.199999999999999,-0.31,28.199999999999999,3.3100000000000001
Vanderbilt,SEC,2,2,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/vanderbilt.svg,,SEC,-102.90000000000001,-17.5,104.90000000000001,19.5
Navy,FBS - AAC,2,2,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/navy.svg,,RandomSmallSchool,-26.199999999999999,-1.3100000000000001,28.199999999999999,3.3100000000000001
Wake Forest,ACC,2,2,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/wake_forest.svg,,ACC,-50.600000000000001,-14.75,52.600000000000001,16.75
Florida A&M,FCS,2,2,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/florida_a&amp;m.svg,,RandomSmallSchool,-26.199999999999999,-1.3100000000000001,28.199999999999999,3.3100000000000001
Houston,Big 12,2,2,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/houston.svg,,Big 12,-48.200000000000003,-13.359999999999999,50.200000000000003,15.359999999999999
Northern Illinois,FBS - MAC,2,2,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/northern_illinois.svg,,RandomSmallSchool,-26.199999999999999,-1.3100000000000001,28.199999999999999,3.3100000000000001
Mississippi State,SEC,2,2,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/mississippi_st.svg,,SEC,-102.90000000000001,-17.5,104.90000000000001,19.5
Nevada,FBS - Mountain West,2,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/nevada.svg,,RandomSmallSchool,-26.199999999999999,-1.3100000000000001,28.199999999999999,3.3100000000000001
Buffalo,FBS - MAC,2,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/buffalo.svg,,RandomSmallSchool,-26.199999999999999,-1.3100000000000001,28.199999999999999,3.3100000000000001
South Carolina State,FCS,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/south_carolina_st.svg,,RandomSmallSchool,-27.199999999999999,-2.3100000000000001,28.199999999999999,3.3100000000000001
Jackson State,FCS,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/jackson_st.svg,,RandomSmallSchool,-27.199999999999999,-2.3100000000000001,28.199999999999999,3.3100000000000001
Middlebury,D3,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/middlebury.svg,,RandomSmallSchool,-27.199999999999999,-2.3100000000000001,28.199999999999999,3.3100000000000001
Cal Poly,FCS,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/cal_poly.svg,,RandomSmallSchool,-27.199999999999999,-2.3100000000000001,28.199999999999999,3.3100000000000001
South Alabama,FBS - Sun Belt,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/south_alabama.svg,,RandomSmallSchool,-27.199999999999999,-2.3100000000000001,28.199999999999999,3.3100000000000001
Lindenwood,D2,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/lindenwood.svg,,RandomSmallSchool,-27.199999999999999,-2.3100000000000001,28.199999999999999,3.3100000000000001
Southern Arkansas,D2,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/southern_arkansas.svg,,RandomSmallSchool,-27.199999999999999,-2.3100000000000001,28.199999999999999,3.3100000000000001
Villanova,FCS,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/villanova.svg,,RandomSmallSchool,-27.199999999999999,-2.3100000000000001,28.199999999999999,3.3100000000000001
Wilfrid Laurier,D3,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/laurier.png,,RandomSmallSchool,-27.199999999999999,-2.3100000000000001,28.199999999999999,3.3100000000000001
Towson,FCS,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/towson.svg,,RandomSmallSchool,-27.199999999999999,-2.3100000000000001,28.199999999999999,3.3100000000000001
Illinois State,FCS,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/illinois_st.svg,,RandomSmallSchool,-27.199999999999999,-2.3100000000000001,28.199999999999999,3.3100000000000001
Northern Iowa,FCS,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/northern_iowa.svg,,RandomSmallSchool,-27.199999999999999,-2.3100000000000001,28.199999999999999,3.3100000000000001
Minnesota Duluth,D2,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/minnesota_duluth.svg,,RandomSmallSchool,-27.199999999999999,-2.3100000000000001,28.199999999999999,3.3100000000000001
Howard,FCS,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/howard.svg,,RandomSmallSchool,-27.199999999999999,-2.3100000000000001,28.199999999999999,3.3100000000000001
Tulsa,FBS - AAC,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/tulsa.svg,,RandomSmallSchool,-27.199999999999999,-2.3100000000000001,28.199999999999999,3.3100000000000001
UC Davis,FCS,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/uc_davis.svg,,RandomSmallSchool,-27.199999999999999,-2.3100000000000001,28.199999999999999,3.3100000000000001
Morgan State,FCS,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/morgan_st.svg,,RandomSmallSchool,-27.199999999999999,-2.3100000000000001,28.199999999999999,3.3100000000000001
South Dakota State,FCS,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/south_dakota_st.svg,,RandomSmallSchool,-27.199999999999999,-2.3100000000000001,28.199999999999999,3.3100000000000001
Liberty,FBS - CUSA,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/liberty.svg,,RandomSmallSchool,-27.199999999999999,-2.3100000000000001,28.199999999999999,3.3100000000000001
Wyoming,FBS - Mountain West,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/wyoming.svg,,RandomSmallSchool,-27.199999999999999,-2.3100000000000001,28.199999999999999,3.3100000000000001
South Florida,FBS - AAC,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/south_florida.svg,,RandomSmallSchool,-27.199999999999999,-2.3100000000000001,28.199999999999999,3.3100000000000001
Louisiana-Monroe,FBS - Sun Belt,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/louisiana_monroe.svg,,RandomSmallSchool,-27.199999999999999,-2.3100000000000001,28.199999999999999,3.3100000000000001
Lenoir?Rhyne,D2,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/lenoir_rhyne.png,,RandomSmallSchool,-27.199999999999999,-2.3100000000000001,28.199999999999999,3.3100000000000001
Georgia State,FBS - Sun Belt,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/georgia_st.svg,,RandomSmallSchool,-27.199999999999999,-2.3100000000000001,28.199999999999999,3.3100000000000001
Florida International,FBS - CUSA,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/florida_international.svg,,RandomSmallSchool,-27.199999999999999,-2.3100000000000001,28.199999999999999,3.3100000000000001
Coastal Carolina,FCS,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/coastal_carolina.svg,,RandomSmallSchool,-27.199999999999999,-2.3100000000000001,28.199999999999999,3.3100000000000001
Northwestern,Big Ten,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/northwestern.svg,,Big Ten,-79.090000000000003,-9.8599999999999994,80.090000000000003,10.869999999999999
Georgia Southern,FBS - Sun Belt,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/georgia_southern.svg,,RandomSmallSchool,-27.199999999999999,-2.3100000000000001,28.199999999999999,3.3100000000000001
Central Michigan,FBS - MAC,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/central_michigan.svg,,RandomSmallSchool,-27.199999999999999,-2.3100000000000001,28.199999999999999,3.3100000000000001
Duke,ACC,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/duke.svg,,ACC,-51.600000000000001,-15.75,52.600000000000001,16.75
North Carolina A&T,FCS,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/north_carolina_a&amp;t.svg,,RandomSmallSchool,-27.199999999999999,-2.3100000000000001,28.199999999999999,3.3100000000000001
Massachusetts,FBS - MAC,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/umass.svg,,RandomSmallSchool,-27.199999999999999,-2.3100000000000001,28.199999999999999,3.3100000000000001
Hawaii,FBS - Mountain West,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/hawaii.svg,,RandomSmallSchool,-27.199999999999999,-2.3100000000000001,28.199999999999999,3.3100000000000001
Holy Cross,FCS,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/holy_cross.svg,,RandomSmallSchool,-27.199999999999999,-2.3100000000000001,28.199999999999999,3.3100000000000001
Louisiana Tech,FBS - CUSA,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/la_tech.svg,,RandomSmallSchool,-27.199999999999999,-2.3100000000000001,28.199999999999999,3.3100000000000001
Charlotte,FBS - AAC,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/charlotte.svg,,RandomSmallSchool,-27.199999999999999,-2.3100000000000001,28.199999999999999,3.3100000000000001
James Madison,FBS - Sun Belt,1,1,https://d9ioojyvhqpok.cloudfront.net/assets/logos/_colleges/james_madison.svg,,RandomSmallSchool,-27.199999999999999,-2.3100000000000001,28.199999999999999,3.3100000000000001
